month,level_1,level_2,value
1961-01,All Items,Food,23.995
1961-01,All Items,Food Excl Food Servicing Services,na
1961-01,All Items,Food Servicing Services,na
1961-01,All Items,Clothing & Footwear,54.921
1961-01,All Items,Housing & Utilities,23.391
1961-01,All Items,Household Durables And Services,33.118
1961-01,All Items,Health Care,19.863
1961-01,All Items,Transport,20.319
1961-01,All Items,Communication,87.887
1961-01,All Items,Recreation & Culture,51.022
1961-01,All Items,Education,17.211
1961-01,All Items,Miscellaneous Goods & Services,19.146
1961-02,All Items,Food,24.011
1961-02,All Items,Food Excl Food Servicing Services,na
1961-02,All Items,Food Servicing Services,na
1961-02,All Items,Clothing & Footwear,54.921
1961-02,All Items,Housing & Utilities,23.493
1961-02,All Items,Household Durables And Services,33.073
1961-02,All Items,Health Care,19.863
1961-02,All Items,Transport,20.319
1961-02,All Items,Communication,87.887
1961-02,All Items,Recreation & Culture,51.022
1961-02,All Items,Education,17.211
1961-02,All Items,Miscellaneous Goods & Services,19.149
1961-03,All Items,Food,24.058
1961-03,All Items,Food Excl Food Servicing Services,na
1961-03,All Items,Food Servicing Services,na
1961-03,All Items,Clothing & Footwear,54.965
1961-03,All Items,Housing & Utilities,23.391
1961-03,All Items,Household Durables And Services,33.447
1961-03,All Items,Health Care,19.863
1961-03,All Items,Transport,20.319
1961-03,All Items,Communication,87.887
1961-03,All Items,Recreation & Culture,51.022
1961-03,All Items,Education,17.211
1961-03,All Items,Miscellaneous Goods & Services,19.142
1961-04,All Items,Food,23.345
1961-04,All Items,Food Excl Food Servicing Services,na
1961-04,All Items,Food Servicing Services,na
1961-04,All Items,Clothing & Footwear,54.949
1961-04,All Items,Housing & Utilities,23.476
1961-04,All Items,Household Durables And Services,33.752
1961-04,All Items,Health Care,19.863
1961-04,All Items,Transport,20.319
1961-04,All Items,Communication,87.887
1961-04,All Items,Recreation & Culture,51.022
1961-04,All Items,Education,17.211
1961-04,All Items,Miscellaneous Goods & Services,19.142
1961-05,All Items,Food,23.118
1961-05,All Items,Food Excl Food Servicing Services,na
1961-05,All Items,Food Servicing Services,na
1961-05,All Items,Clothing & Footwear,54.68
1961-05,All Items,Housing & Utilities,23.545
1961-05,All Items,Household Durables And Services,33.577
1961-05,All Items,Health Care,19.863
1961-05,All Items,Transport,20.319
1961-05,All Items,Communication,87.887
1961-05,All Items,Recreation & Culture,51.022
1961-05,All Items,Education,17.211
1961-05,All Items,Miscellaneous Goods & Services,19.126
1961-06,All Items,Food,23.421
1961-06,All Items,Food Excl Food Servicing Services,na
1961-06,All Items,Food Servicing Services,na
1961-06,All Items,Clothing & Footwear,54.486
1961-06,All Items,Housing & Utilities,23.545
1961-06,All Items,Household Durables And Services,33.545
1961-06,All Items,Health Care,19.863
1961-06,All Items,Transport,20.319
1961-06,All Items,Communication,87.887
1961-06,All Items,Recreation & Culture,51.022
1961-06,All Items,Education,17.211
1961-06,All Items,Miscellaneous Goods & Services,19.126
1961-07,All Items,Food,23.511
1961-07,All Items,Food Excl Food Servicing Services,na
1961-07,All Items,Food Servicing Services,na
1961-07,All Items,Clothing & Footwear,54.684
1961-07,All Items,Housing & Utilities,23.545
1961-07,All Items,Household Durables And Services,33.265
1961-07,All Items,Health Care,19.863
1961-07,All Items,Transport,20.319
1961-07,All Items,Communication,87.887
1961-07,All Items,Recreation & Culture,51.022
1961-07,All Items,Education,17.211
1961-07,All Items,Miscellaneous Goods & Services,19.126
1961-08,All Items,Food,23.926
1961-08,All Items,Food Excl Food Servicing Services,na
1961-08,All Items,Food Servicing Services,na
1961-08,All Items,Clothing & Footwear,54.684
1961-08,All Items,Housing & Utilities,23.545
1961-08,All Items,Household Durables And Services,33.265
1961-08,All Items,Health Care,19.863
1961-08,All Items,Transport,20.319
1961-08,All Items,Communication,87.887
1961-08,All Items,Recreation & Culture,51.022
1961-08,All Items,Education,17.211
